ten_thuy_dien,cong_xuat,san_luong,nam_khoi_cong,nam_hoat_dong,vi_do,kinh_do,tren_song,vi_tri_hanh_chinh,tinh_trang,qui_mo,loai,dung_tich,luu_vuc,chu_dau_tu,loai_hinh,von_dau_tu
Hòa Bình,1920,8160,11/1/1979,12/1/1994,20.808208,105.323278,Sông Đà,Tp. Hòa Bình tỉnh Hòa Bình,Đang vận hành,Lớn,Có hồ chứa,9000,Đà,EVN,Nhà nước,0
Sơn La,2400,9429,12/1/2005,12/1/2012,21.496389,103.995000,Sông Đà,xã Ít Ong huyện Mường La tỉnh Sơn La,Đang vận hành,Lớn,Có hồ chứa,9260,Đà,EVN,Nhà nước,36933
Lai Châu,1200,4670,1/1/2011,12/1/2016,22.137922,102.983850,Sông Đà,Tt. Nậm Nhùn huyện Nậm Nhùn tỉnh Lai Châu,Đang vận hành,Lớn,Có hồ chứa,1215,Đà,EVN,Nhà nước,35700
Pắc Ma,140,530,7/8/1905,7/11/1905,22.566145,102.517806,Sông Đà,"xã Mù Cả, Mường Tè và Ka Lăng huyện Mường Tè tỉnh Lai Châu[1]",,,,,,,,
Thác Bà,120,400,5/17/1905,5/24/1905,21.747064,105.023258,Sông Chảy,huyện Yên Bình tỉnh Yên Bái,Đang vận hành,Lớn,Có hồ chứa,2940,Chảy ,Công ty cổ phần Thủy điện Thác Bà,Cổ phần,0
Tuyên Quang,342,1295,6/24/1905,6/30/1905,22.360036,105.398469,Sông Gâm,huyện Na Hang tỉnh Tuyên Quang,Đang vận hành,Lớn,Có hồ chứa,2245,Gâm,EVN,Nhà nước,7500
Nho Quế 3,110,507,6/29/1905,6/1/2012,23.143267,105.515419,Nho Quế,xã Lũng Pù và Sơn Vĩ huyện Mèo Vạc tỉnh Hà Giang,,,,,,,,
Nậm Chiến 1,200,791,6/29/1905,7/5/1905,21.593544,104.144442,Nậm Chiến,xã Ngọc Chiến huyện Mường La tỉnh Sơn La,Đang vận hành,Lớn,Có hồ chứa,154,Chiến,Công ty cổ phần thủy điện Nậm Chiến,Cổ phần,6400
Bản Chát,220,770,6/28/1905,7/5/1905,21.861172,103.828589,Nậm Mu,xã Mường Kim huyện Than Uyên tỉnh Lai Châu,Đang vận hành,Lớn,Có hồ chứa,2137,Nậm Mu,EVN,Nhà nước,9198
Huội Quảng,520,1904,1/1/2006,5/1/2016,21.696464,103.877603,Nậm Mu,xã Khoen On huyện Than Uyên & xã Chiềng Lao huyện Mường La tỉnh Sơn La,Đang vận hành,Lớn,Có hồ chứa,184.2,Nậm Mu,EVN,Nhà nước,11082
